# PVL-001 EV-6a (#4139): contract `lean_theorem:` LABELS that name no theorem, file or domain in the tree.
# A non-increasing ratchet: `pv discharge check` fails a label that is not listed here, and one listed here
# that now resolves. `pv discharge check <lean-dir> --update-baseline` only ever removes lines.
absolute-position-v1	Theorems.AbsolutePosition.Core
apr-cli-readonly-v1	Theorems.ReadOnly_Exit_Code
apr-cli-safety-v1	Theorems.Encrypt_Idempotency
apr-cli-safety-v1	Theorems.Gpu_Inference_Path_Correctness
apr-cli-safety-v1	Theorems.Offline_Network_Guard
apr-cli-safety-v1	Theorems.Validate_Exit_Monotonic
apr-cli-sampling-v1	Theorems.ExitCodeOnFailure
apr-cli-sampling-v1	Theorems.SeedDeterminism
apr-cli-v1	Theorems.Command_Parse_Determinism
apr-cli-v1	Theorems.Contract_Gate_Enforcement
apr-cli-v1	Theorems.ExitCodeSemantics
apr-cli-v1	Theorems.Model_Path_Resolution
apr-cli-v1	Theorems.Pipe_Stdin_Support
apr-cli-v1	Theorems.SigpipeHandling
apr-cli-v1	Theorems.Tokenizer_Training_Correctness
apr-cli-v1	Theorems.Training_Plan_Apply_Semantics
apr-cli-v1	Theorems.TtyDetection
apr-code-no-arg-startup-v1	Theorems.Apr_Code_No_Arg_Startup_Policy
apr-code-no-arg-startup-v1	Theorems.Apr_Code_Serve_Child_Reaped_Before_Exit
apr-code-toolcall-retention-v1	Theorems.Apr_Code_Toolcall_Salvage_Recovery
apr-code-toolcall-retention-v1	Theorems.Apr_Code_Toolcall_Structural_Retention
apr-code-v1	Theorems.Apr_Md_Compliance
apr-code-v1	Theorems.Apr_Model_Validity
apr-code-v1	Theorems.Model_Fallback
apr-code-v1	Theorems.Session_Integrity
apr-code-v1	Theorems.Single_Binary
apr-code-v1	Theorems.Sovereignty_Guarantee
apr-code-v1	Theorems.Startup_Latency
apr-code-v1	Theorems.Tool_Safety
apr-compare-hf-nonvacuous-v1	Theorems.NonVacuousVerdict
apr-data-pipeline-v1	Theorems.DataSplitDeterminism
apr-data-pipeline-v1	Theorems.DataValidation
apr-data-pipeline-v1	Theorems.PreprocessingIdempotency
apr-data-pipeline-v1	Theorems.StreamingDataLoader
apr-distill-smoke-validation-v1	Theorems.Early_Break_Condition
apr-distill-smoke-validation-v1	Theorems.No_Side_Effects
apr-distill-smoke-validation-v1	Theorems.Smoke_Summary_Format
apr-distill-teacher-backend-selection-v1	Theorems.Backend_Dispatch
apr-distill-teacher-backend-selection-v1	Theorems.Bug_B_Demotion
apr-distill-teacher-backend-selection-v1	Theorems.Forward_Latency_Invariant
apr-distill-teacher-vocab-alignment-v1	Theorems.Cli_Dispatch_Passes_Student_Vocab
apr-distill-teacher-vocab-alignment-v1	Theorems.Kd_Loss_Invariance_Under_Truncation
apr-distill-teacher-vocab-alignment-v1	Theorems.Vocab_Alignment_Dispatch
apr-eval-humaneval-inference-failure-handling-v1	Theorems.Inference_Failure_Signal
apr-eval-humaneval-inference-failure-handling-v1	Theorems.Pass_At_K_Definition
apr-eval-humaneval-inference-failure-handling-v1	Theorems.Per_Problem_Pass_Counter_Invariant
apr-finetune-v1	Theorems.AlphaRankRatio
apr-finetune-v1	Theorems.CheckpointRoundtrip
apr-finetune-v1	Theorems.MergeTensorShape
apr-finetune-v1	Theorems.RankBoundsSafety
apr-finetune-v1	Theorems.VramEstimationTolerance
apr-finetune-v1	Theorems.VramFeasibility
apr-format-invariants-v1	Theorems.Detect_Regression
apr-format-invariants-v1	Theorems.Format_Report
apr-format-invariants-v1	Theorems.Parse_Playbook
apr-format-invariants-v1	Theorems.Serialize_Roundtrip
apr-format-invariants-v1	Theorems.Validate_Schema
apr-format-safety-v1	Theorems.DtypeCoercionSafety
apr-format-safety-v1	Theorems.FlagIntegrity
apr-format-safety-v1	Theorems.HeaderIntegrity
apr-format-safety-v1	Theorems.MagicByteValidation
apr-format-safety-v1	Theorems.MetadataCompleteness
apr-format-safety-v1	Theorems.ProvenanceEnforcement
apr-format-safety-v1	Theorems.StrictImportValidation
apr-format-safety-v1	Theorems.TruncationDetection
apr-format-safety-v1	Theorems.ValidateExitCodeConsistency
apr-gguf-export-symmetry-v1	Theorems.GgufExportSymmetry.Roundtrip
apr-gpu-backend-v1	Theorems.BackendSelection
apr-gpu-backend-v1	Theorems.GenerationTemperatureZero
apr-gpu-backend-v1	Theorems.GpuDetectionAccuracy
apr-gpu-backend-v1	Theorems.JsonOutputConsistency
apr-gpu-diagnostics-v1	Theorems.Cbtop_Measurement_Accuracy
apr-gpu-diagnostics-v1	Theorems.Cbtop_Monitoring
apr-gpu-diagnostics-v1	Theorems.Ptx_Code_Generation
apr-gpu-diagnostics-v1	Theorems.Ptx_Kernel_Mapping
apr-inspect-dtype-naming-v1	Theorems.DtypeNaming
apr-inspect-flags-v1	Theorems.FlagMateriality
apr-list-disk-reconciliation-v1	Theorems.DiskReconciliation
apr-model-diagnostics-v1	Theorems.Diagnose_Fault_Isolation
apr-model-diagnostics-v1	Theorems.Hex_Display_Fidelity
apr-model-diagnostics-v1	Theorems.Oracle_Compatibility_Matrix
apr-model-diagnostics-v1	Theorems.Oracle_Family_Detection
apr-model-diagnostics-v1	Theorems.Rosetta_Fingerprint_Determinism
apr-model-discovery-v1	Theorems.Architecture_Extraction
apr-model-discovery-v1	Theorems.Jidoka_Validation
apr-model-discovery-v1	Theorems.No_Model_UX
apr-model-discovery-v1	Theorems.Search_Order
apr-model-discovery-v1	Theorems.Sort_Priority
apr-model-graph-v1	Theorems.Attention_Mechanism
apr-model-graph-v1	Theorems.FFN_Computation
apr-model-graph-v1	Theorems.Forward_Pass_Completeness
apr-model-graph-v1	Theorems.KV_Cache_Management
apr-model-graph-v1	Theorems.Quantization_Precision
apr-model-graph-v1	Theorems.Residual_Stream
apr-model-graph-v1	Theorems.Tensor_Name_Resolution
apr-model-lifecycle-v1	Theorems.ExportRoundtrip
apr-model-lifecycle-v1	Theorems.ImportFormatDetection
apr-model-lifecycle-v1	Theorems.MergeWeightConservation
apr-model-lifecycle-v1	Theorems.PullCacheIntegrity
apr-model-lifecycle-v1	Theorems.QuantizePrecisionBound
apr-model-optimization-v1	Theorems.DistillKnowledgeTransfer
apr-model-optimization-v1	Theorems.FinetuneCheckpointDeterminism
apr-model-optimization-v1	Theorems.FinetuneLora_RankCorrectness
apr-model-optimization-v1	Theorems.PruneArchitecturePreservation
apr-model-optimization-v1	Theorems.PruneSparsityTarget
apr-model-qa-v1	Theorems.CanaryRegressionDetection
apr-model-qa-v1	Theorems.GoldenOutputShipBlocker
apr-model-qa-v1	Theorems.LintModelConventions
apr-model-qa-v1	Theorems.ModelIntegrityCheck
apr-model-qa-v1	Theorems.ProbarPropertyTests
apr-model-qa-v1	Theorems.QaGateComposition
apr-model-security-v1	Theorems.AuthenticationIntegrity
apr-model-security-v1	Theorems.EncryptionRoundtrip
apr-model-security-v1	Theorems.KeyDerivationCorrectness
apr-model-security-v1	Theorems.PublishManifestIntegrity
apr-serve-v1	Theorems.ChatTemplateDispatch
apr-serve-v1	Theorems.ConcurrentInferenceIsolation
apr-serve-v1	Theorems.CorsPreflight
apr-serve-v1	Theorems.ErrorSanitization
apr-serve-v1	Theorems.FormatDetection
apr-serve-v1	Theorems.GpuTokenIntegrity
apr-serve-v1	Theorems.GracefulShutdown
apr-serve-v1	Theorems.MaxTokensBound
apr-serve-v1	Theorems.RequestRouting
apr-serve-v1	Theorems.ServerLifecycle
apr-serve-v1	Theorems.UnknownRouteJson404
apr-training-parity-v1	Theorems.GPU_Utilization_Gate
apr-training-parity-v1	Theorems.Parity_Ratio
apr-version-traceability-v1	Theorems.NonSentinelVersion
arch-constraints-v1	Theorems.Arch_Constraint_Lookup
architecture-requirements-v1	Theorems.Constraint_Matrix_Exhaustiveness
architecture-requirements-v1	Theorems.Role_Mapping
architecture-requirements-v1	Theorems.Weight_Completeness
arima-v1	Theorems.Ar_Forecast
arima-v1	Theorems.Differencing
arima-v1	Theorems.Forecast_Finite
arima-v1	Theorems.Ma_Filter
async-safety-v1	Theorems.CancellationSafe
async-safety-v1	Theorems.ChannelLossless
async-safety-v1	Theorems.StructuredSpawn
attention-backward-v1	Theorems.Attention_backward_grad_qk
attention-backward-v1	Theorems.Attention_backward_grad_scores
attention-backward-v1	Theorems.Attention_backward_grad_v
attention-backward-v1	Theorems.Softmax_backward
attention-head-extraction-v1	Theorems.ExtractHeads
attention-kernel-v1	Theorems.RoPE_Rotation
attention-kernel-v1	Theorems.Scaled_Dot_Product
attention-scaling-v1	Theorems.Softmax_Saturation
avx2-fma-dot-v1	Theorems.Dot_Product
avx2-fma-dot-v1	Theorems.Fma_Accumulation
avx512-blis-v1	Theorems.FlopsPerTile
avx512-blis-v1	Theorems.NumericalEquivalence
avx512-blis-v1	Theorems.PeakThroughput
avx512-q4k-v1	Theorems.Q4kDequant
avx512-q4k-v1	Theorems.Q4kThroughput
backend-dispatch-v1	Theorems.Garbage_Oracle
backend-dispatch-v1	Theorems.Gpu_Threshold
backend-dispatch-v1	Theorems.Qk_Norm_Score_Bound
backend-dispatch-v1	Theorems.Simd_Only_Threshold
batch-training-v1	Theorems.Batch_Loss
batch-training-v1	Theorems.Gradient_Accumulation
batch-training-v1	Theorems.Gradient_Clipping
batched-beam-search-v1	Theorems.Batched_Beam_Projection
batched-beam-search-v1	Theorems.Beam_Selection
batched-beam-search-v1	Theorems.Sequential_Beam_Projection
batched-beam-search-v1	Theorems.Termination
batchnorm-kernel-v1	Theorems.Batchnorm_Eval
batchnorm-kernel-v1	Theorems.Batchnorm_Train
batchnorm-kernel-v1	Theorems.Running_Stats
batchnorm-running-stats-v1	Theorems.Running_Mean_Ema
batchnorm-running-stats-v1	Theorems.Running_Var_Ema
bayesian-logistic-map-v1	Theorems.HessianSamePosterior
bayesian-logistic-map-v1	Theorems.LogPostGradient
bayesian-logistic-map-v1	Theorems.MapPrecision
bayesian-v1	Theorems.Blr_Predict
bayesian-v1	Theorems.Conjugate_Update
bayesian-v1	Theorems.Posterior_Predictive
bayesian-v1	Theorems.Posterior_Valid
beacon-dispatch-v1	Theorems.BM25_Ranking
beacon-dispatch-v1	Theorems.Index_Insert_Retrieve
beacon-dispatch-v1	Theorems.Robots_Compliance
beacon-dispatch-v1	Theorems.Tokenize_Normalization
bf16-dequant-v1	Theorems.BF16_Block_Layout
bf16-dequant-v1	Theorems.BF16_Dequant_Formula
bias-add-v1	Theorems.Bias_Add
bidirectional-attention-v1	Theorems.Bidirectional_Attention
blake3-state-v1	Theorems.Composite_Hash
blake3-state-v1	Theorems.Hash_File
blake3-state-v1	Theorems.Hash_String
blis-gemm-v1	Theorems.ElementwiseParity
blis-gemm-v1	Theorems.GemmCorrectness
blis-thread-cap-v1	Theorems.AmdahlSpeedup
blis-thread-cap-v1	Theorems.ThreadCapPolicy
blis-thread-cap-v1	Theorems.WorkingSet
bpe-tokenization-v1	Theorems.Encode
bpe-tokenization-v1	Theorems.Merge_Rule
bpe-training-perf-v1	Theorems.Bpe_Train_Priority_Queue
builder-pattern-v1	Theorems.Build_Valid
builder-pattern-v1	Theorems.Builder_Fresh
builder-pattern-v1	Theorems.Builder_Pattern
calibration-v1	Theorems.Expected_Calibration_Error
calibration-v1	Theorems.Isotonic_Regression
calibration-v1	Theorems.Maximum_Calibration_Error
calibration-v1	Theorems.Platt_Scaling
calibration-v1	Theorems.Reliability_Diagram
canary-metrics-schema-v1	Theorems.Domain_Loss
canary-metrics-schema-v1	Theorems.Domain_Throughput
canary-metrics-schema-v1	Theorems.Schema_Completeness
canary-score-gate-v1	Theorems.Parity_Gate
canary-score-gate-v1	Theorems.Throughput_Gate
canary-score-gate-v1	Theorems.Vram_Gate
chat-template-v1	Theorems.AppState_Architecture_Cache
chat-template-v1	Theorems.Architecture_Aware_Selection
chat-template-v1	Theorems.Thinking_Block_Suppression
chat-template-v1	Theorems.Trait_Completeness
classification-finetune-v1	Theorems.Classifier_Weight_Shape
classification-finetune-v1	Theorems.Label_Bounds
classification-finetune-v1	Theorems.Logit_Shape
classification-finetune-v1	Theorems.Softmax_Sum
classifier-pipeline-v1	Theorems.Embedding_Extraction
classifier-pipeline-v1	Theorems.Evaluation
classifier-pipeline-v1	Theorems.Linear_Probe
cleanup-safety-v1	Theorems.Duplicate_Detection
cleanup-safety-v1	Theorems.Outlier_Detection
cleanup-safety-v1	Theorems.Scan_Completeness
cli-dispatch-v1	Theorems.Dispatch_Completeness
cli-dispatch-v1	Theorems.Exit_Code_Semantics
cli-dispatch-v1	Theorems.Feature_Gated_Dispatch
cli-dispatch-v1	Theorems.Idempotent_Inspection
cli-dispatch-v1	Theorems.Output_Format_Fidelity
cli-interface-v1	Theorems.ExitCodeSemantics
cli-interface-v1	Theorems.OutputFormatFidelity
cli-interface-v1	Theorems.ResultCardinality
cli-interface-v1	Theorems.TimeoutHonoring
cli-lint-v1	Theorems.Exit_Code_Dispatch
cli-lint-v1	Theorems.Finding_Determinism
cli-lint-v1	Theorems.Output_Format_Validity
cli-lint-v1	Theorems.Severity_Ordering
cli-oracle-v1	Theorems.Dispatch_Correctness
cli-oracle-v1	Theorems.Index_Freshness
cli-oracle-v1	Theorems.RAG_Query_Correctness
cli-transpile-v1	Theorems.Exit_Code_Dispatch
cli-transpile-v1	Theorems.Input_Validation
cli-transpile-v1	Theorems.Output_Validity
cli-transpile-v1	Theorems.Transpilation_Determinism
cma-es-kernel-v1	Theorems.CMAES.CovarianceSymmetry
cma-es-kernel-v1	Theorems.CMAES.StepSizePositive
cma-es-kernel-v1	Theorems.CMAES.WeightsNormalized
codebert-tokenizer-validation-v1	Theorems.Tokenizer_Adequacy
codegen-dispatch-v1	Theorems.Apply_Script
codegen-dispatch-v1	Theorems.Check_Script
codegen-dispatch-v1	Theorems.State_Query_Script
columnar-storage-v1	Theorems.Insert_Get_Consistency
columnar-storage-v1	Theorems.Query_Correctness
columnar-storage-v1	Theorems.WASM_Parity
comply-check-v1	Theorems.Aggregate_Score
comply-check-v1	Theorems.Run_Checks
compression-codec-v1	Theorems.Batch_Correctness
compression-codec-v1	Theorems.Roundtrip_Identity
compression-codec-v1	Theorems.SIMD_Scalar_Parity
compression-roundtrip-v1	Theorems.Compression_Ratio
compression-roundtrip-v1	Theorems.Lz4Roundtrip
compression-roundtrip-v1	Theorems.Page_State
compression-roundtrip-v1	Theorems.Roundtrip_Identity
compression-roundtrip-v1	Theorems.SqliteMigration
compute-parity-v1	Theorems.BackendDispatchComplete
compute-parity-v1	Theorems.SimdScalarParity
concurrency-safety-v1	Theorems.ChannelLossless
concurrency-safety-v1	Theorems.ParallelDeterminism
concurrency-safety-v1	Theorems.TaskCancellationCleanup
configuration-schema-v1	Theorems.ThresholdInvariants
configuration-schema-v1	Theorems.UnknownKeyRejection
configuration-v1	Theorems.BFS_Level_Map
configuration-v1	Theorems.Config_Factory
configuration-v1	Theorems.Config_Valid
configuration-v1	Theorems.Configuration
configuration-v1	Theorems.Connect_Lifecycle
configuration-v1	Theorems.Connection_Count
configuration-v1	Theorems.Insert_Idempotent
configuration-v1	Theorems.Query_Correct
configuration-v1	Theorems.Validate_Index
configuration-v1	Theorems.Validate_Size
context-generation-v1	Theorems.Generate_Context
context-generation-v1	Theorems.Index_Persistence
continuous-batching-v1	Theorems.Chunked_Prefill
continuous-batching-v1	Theorems.Correctness_Under_Batching
continuous-batching-v1	Theorems.Decode_Degradation
continuous-batching-v1	Theorems.Request_State
continuous-batching-v1	Theorems.Scheduling_Fairness
continuous-batching-v1	Theorems.Throughput_Scaling
continuous-batching-v1	Theorems.Token_Budget
conversation-generation-v1	Theorems.Chatml_Format
conversation-generation-v1	Theorems.Conversation_Types
conversation-generation-v1	Theorems.Quality_Gate
copia-delta-v1	Theorems.Block_Reuse
copia-delta-v1	Theorems.Delta_Correctness
copia-delta-v1	Theorems.Identity_Sync
copia-delta-v1	Theorems.Transfer_Minimality
cpp-type-preservation-v1	Theorems.Class_To_Struct
cpp-type-preservation-v1	Theorems.Inheritance_To_Composition
cpp-type-preservation-v1	Theorems.Namespace_To_Mod
cpp-type-preservation-v1	Theorems.Operator_To_Trait
cpu-q4k-activation-quant-v1	Theorems.Current_Path
cpu-q4k-activation-quant-v1	Theorems.Speedup_Bound
cpu-q4k-activation-quant-v1	Theorems.Target_Path
cpu-work-stealing-v1	Theorems.L1_Tiling
cpu-work-stealing-v1	Theorems.Rayon_Overhead
cross-entropy-kernel-v1	Theorems.Cross_Entropy
cross-entropy-kernel-v1	Theorems.Log_Softmax
cuda-classify-training-v1	Theorems.Device_Dispatch
cuda-classify-training-v1	Theorems.Gpu_Forward
cuda-classify-training-v1	Theorems.Weight_Roundtrip
cuda-graph-batched-inference-v1	Theorems.Bucket_Selection
cuda-graph-batched-inference-v1	Theorems.Dispatch_Overhead
cuda-graph-batched-inference-v1	Theorems.Efficiency_Target
cuda-graph-batched-inference-v1	Theorems.Graph_Correctness
cuda-graph-batched-inference-v1	Theorems.Memory_Overhead
cuda-graph-batched-inference-v1	Theorems.Throughput_Scaling
cuda-kernel-safety-v1	Theorems.Host_Transpilation
cuda-kernel-safety-v1	Theorems.Kernel_Ffi
cuda-kernel-safety-v1	Theorems.Qualifier_Preservation
cuda-q4k-frozen-teacher-v1	Theorems.Forward_Kernel_Dispatch
cuda-q4k-frozen-teacher-v1	Theorems.No_Grad_Invariant
cuda-q4k-frozen-teacher-v1	Theorems.Parity_With_Realizar_Inference
cuda-q4k-frozen-teacher-v1	Theorems.Teacher_Residency_Invariant
cuda-unified-memory-allocator-v1	Theorems.Allocator_Dispatch
cuda-unified-memory-allocator-v1	Theorems.Budget_Invariant
cuda-unified-memory-allocator-v1	Theorems.Device_Class_Classification
dag-ordering-v1	Theorems.Kahn_Sort
dag-ordering-v1	Theorems.Topological_Sort
data-feed-v1	Theorems.Config_Validity
data-feed-v1	Theorems.Serialize_Roundtrip
decision-engine-v1	Theorems.Include_Resolution
decision-engine-v1	Theorems.Transpile_Dispatch
decision-engine-v1	Theorems.Type_Preservation
decision-tree-v1	Theorems.Gini_Impurity
decision-tree-v1	Theorems.Gini_Split
decision-tree-v1	Theorems.Mse_Split
decision-tree-v1	Theorems.Prediction
delta-sync-v1	Theorems.Delta_Computation
delta-sync-v1	Theorems.Patch_Apply
delta-sync-v1	Theorems.Rolling_Checksum
discriminant-analysis-v1	Theorems.Lda_Decision_Function
discriminant-analysis-v1	Theorems.Qda_Class_Covariance
discriminant-analysis-v1	Theorems.Qda_Log_Likelihood
display-format-v1	Theorems.Display_Format
display-format-v1	Theorems.Render
distill-per-position-kd-v1	Theorems.Additive_Safety
distill-per-position-kd-v1	Theorems.Per_Position_Signal
distill-pipeline-observability-v1	Theorems.Callback_Lifecycle
distill-pipeline-observability-v1	Theorems.Default_Attachment
distill-pipeline-observability-v1	Theorems.Progress_Log_Format
distributed-training-v1	Theorems.Gradient_Allreduce
distributed-training-v1	Theorems.Lora_Gradient_Size
distributed-training-v1	Theorems.Sharding
distributed-training-v1	Theorems.Swiglu_Ffn
distributed-training-v1	Theorems.Weighted_Loss
distribution-v1	Theorems.Build_Integrity
distribution-v1	Theorems.Distribution_Delivery
document-integrity-v1	Theorems.AnimationBounds
document-integrity-v1	Theorems.BadgeFormat
document-integrity-v1	Theorems.CodeFenceLanguage
document-integrity-v1	Theorems.HeadingHierarchy
document-integrity-v1	Theorems.LinkWellformedness
document-integrity-v1	Theorems.MediaDimensionBounds
document-integrity-v1	Theorems.MediaMagicBytes
document-integrity-v1	Theorems.MediaMetadataPresent
document-integrity-v1	Theorems.ReadmeDrift
document-integrity-v1	Theorems.RequiredSections
document-integrity-v1	Theorems.SvgStructuralSafety
document-integrity-v1	Theorems.TableColumnParity
document-integrity-v1	Theorems.YamlFrontmatter
document-integrity-v1	Theorems.YamlKeyConvention
document-integrity-v1	Theorems.YamlStructuralValidity
dpo-loss-v1	Theorems.Dpo_Loss
dpo-loss-v1	Theorems.Implicit_Reward
dpo-loss-v1	Theorems.Log_Ratio
drift-detection-v1	Theorems.Classify_Drift
drift-detection-v1	Theorems.Min_Samples_Guard
drift-detection-v1	Theorems.Performance_Drift
drift-detection-v1	Theorems.Univariate_Drift
dropout-v1	Theorems.Dropout_Eval
dropout-v1	Theorems.Dropout_Train
embedding-algebra-v1	N/A — non-degeneracy is a loaded-weight property, not an analytic identity
embedding-algebra-v1	Theorems.Embedding.onehot_select
embedding-algebra-v1	Theorems.Embedding.temp_identity
embedding-algebra-v1	Theorems.Embedding.tied_row_eq
embedding-algebra-v1	Theorems.Embedding.token_lt_vocab
embedding-algebra-v1	Theorems.Embedding.unembed_apply
encoder-forward-v1	Theorems.Cls_Pooling
encoder-forward-v1	Theorems.Encoder_Layer
encoder-roundtrip-v1	Theorems.Decode_Frame
encoder-roundtrip-v1	Theorems.Emit_Posix
encoder-roundtrip-v1	Theorems.Emit_Purified
encoder-roundtrip-v1	Theorems.Encode_Roundtrip
encoder-roundtrip-v1	Theorems.Encoder_Resolution
error-handling-v1	Theorems.Error_Categorized
error-handling-v1	Theorems.Error_Handling
error-handling-v1	Theorems.Send_Complete
eval-sharding-v1	Theorems.EvalShardMergeIdentity
event-rulebook-v1	Theorems.Action_Ordering
event-rulebook-v1	Theorems.Cooldown_Deduplication
event-rulebook-v1	Theorems.Trigger_Dispatch_Completeness
execution-safety-v1	Theorems.Atomic_Write
execution-safety-v1	Theorems.Jidoka_Stop
f16-conversion-v1	Theorems.F16.bias_trick_correct
f16-conversion-v1	Theorems.F16.roundtrip_identity
flash-attention-v1	Theorems.Flash_Attention
format-parity-v1	Theorems.Element_Count
format-parity-v1	Theorems.Identity_1D
format-parity-v1	Theorems.Name_Bijection
format-parity-v1	Theorems.Transpose_Involution
fused-qkv-projection-v1	Theorems.Fused_Qkv
fused-qkv-projection-v1	Theorems.Separate_Qkv
fused-qkv-projection-v1	Theorems.Shared_Q8_Qkv
gated-delta-net-v1	Theorems.Delta
gated-delta-net-v1	Theorems.Output
gated-delta-net-v1	Theorems.Read
gbm-v1	Theorems.Gradient_Boost
gbm-v1	Theorems.Negative_Gradient
gbm-v1	Theorems.Predict
gbm-v1	Theorems.Training_Loss
gelu-kernel-v1	Theorems.Gelu_Tanh_Approx
gemm-backward-tiled-v1	Theorems.Backward_A_Gemm
gemm-backward-tiled-v1	Theorems.Backward_B_Gemm
gemm-backward-tiled-v1	Theorems.Shared_Memory_Per_Tile
gemm-backward-tiled-v1	Theorems.Tiled_Gemm_Arithmetic_Intensity
gemm-backward-tiled-v1	Theorems.Unrolled_Instruction_Ratio
ggml-type-v1	Theorems.Ggml_Block_Geometry
ggml-type-v1	Theorems.Ggml_Tensor_Bytes
gguf-cpu-cache-v1	Theorems.Autoregressive_Generation
gguf-format-safety-v1	Theorems.Alignment_Enforcement
gguf-format-safety-v1	Theorems.Magic_Validation
gguf-format-safety-v1	Theorems.Metadata_KV_Safety
gguf-format-safety-v1	Theorems.Tensor_Metadata_Integrity
gguf-format-safety-v1	Theorems.Version_Compatibility
gguf-kquant-element-size-v1	Theorems.KQuant_Element_Size
gguf-kquant-element-size-v1	Theorems.Total_Tensor_Bytes
glm-v1	Theorems.Binomial_Link
glm-v1	Theorems.Gamma_Link
glm-v1	Theorems.Irls_Fit
glm-v1	Theorems.Poisson_Link
gnn-v1	Theorems.Gcn_Aggregate
gnn-v1	Theorems.Global_Max_Pool
gnn-v1	Theorems.Global_Mean_Pool
gnn-v1	Theorems.Message_Passing
golden-trace-v1	Theorems.Adaptive_Sampling
golden-trace-v1	Theorems.Trace_Capture
golden-trace-v1	Theorems.Trace_Validate
gpu-context-health-v1	Theorems.Context_Health
gpu-context-health-v1	Theorems.Cuda_Graph_Guard
gpu-context-health-v1	Theorems.Culink_Skip
gpu-context-health-v1	Theorems.Fp8_Architecture_Guard
gpu-decode-profiling-v1	Theorems.Brick_Ordering
gpu-decode-profiling-v1	Theorems.Decode_Audio
gpu-decode-profiling-v1	Theorems.Decode_Video
gpu-decode-profiling-v1	Theorems.Graph_Disable
gpu-decode-profiling-v1	Theorems.Report_Completeness
gpu-decode-profiling-v1	Theorems.Report_Denominator
gpu-decode-profiling-v1	Theorems.Report_Fidelity
gpu-decode-profiling-v1	Theorems.Report_Metadata
gpu-decode-profiling-v1	Theorems.Sync_Verification
gpu-decode-profiling-v1	Theorems.Token_Accounting
gpu-decode-profiling-v1	Theorems.Wall_Coverage
gpu-multi-backend-parity-v1	Theorems.Backend_Priority
