id	op	line	verdict	rc	failing_tests	killed_by	mutated_line
reject-04-drop	drop	436	KILLED	1	1	probe receipt holding two JSON records is not JSON Lines        RED  B1	    true B1 "receipt.intoto.jsonl holds $records JSON record/s; the in-toto Statement must be exactly one" || return 1
reject-04-flip	flip	436	KILLED	1	1	probe receipt holding two JSON records is not JSON Lines        RED  B1	    reject B1 "receipt.intoto.jsonl holds $records JSON record/s; the in-toto Statement must be exactly one" && return 1
reject-05-drop	drop	438	KILLED	1	1	probe receipt that is not parseable JSON                        RED  B1	  jq -e . "$rcpt"  >/dev/null 2>&1 || true B1 "receipt.intoto.jsonl is not parseable JSON" || return 1
reject-05-flip	flip	438	KILLED	1	121	S6.1 all four positive controls fire before anything is validated	  jq -e . "$rcpt"  >/dev/null 2>&1 || reject B1 "receipt.intoto.jsonl is not parseable JSON" && return 1
reject-06-drop	drop	439	KILLED	1	1	probe findings.sarif that is not parseable JSON                 RED  B1	  jq -e . "$sarif" >/dev/null 2>&1 || true B1 "findings.sarif is not parseable JSON" || return 1
reject-06-flip	flip	439	KILLED	1	121	S6.1 all four positive controls fire before anything is validated	  jq -e . "$sarif" >/dev/null 2>&1 || reject B1 "findings.sarif is not parseable JSON" && return 1
reject-07-drop	drop	444	KILLED	1	120	S6.1 all four positive controls fire before anything is validated	    true B1 "receipt fails schemas/in-toto-statement-v1.json: $(printf '%s' "$sout" | tr '\n' ' ' | cut -c1-220)" || return 1
reject-07-flip	flip	444	KILLED	1	120	S6.1 all four positive controls fire before anything is validated	    reject B1 "receipt fails schemas/in-toto-statement-v1.json: $(printf '%s' "$sout" | tr '\n' ' ' | cut -c1-220)" && return 1
reject-08-drop	drop	447	KILLED	1	1	probe findings.sarif that parses but fails the SARIF schema     RED  B1	    true B1 "findings.sarif fails schemas/sarif-2.1.0.json: $(printf '%s' "$sout" | tr '\n' ' ' | cut -c1-220)" || return 1
reject-08-flip	flip	447	KILLED	1	1	probe findings.sarif that parses but fails the SARIF schema     RED  B1	    reject B1 "findings.sarif fails schemas/sarif-2.1.0.json: $(printf '%s' "$sout" | tr '\n' ' ' | cut -c1-220)" && return 1
reject-09-drop	drop	453	KILLED	1	1	probe the public key is absent                                  RED  B1	  [ -f "$PUBKEY" ] || true B1 "public key $PUBKEY is absent; an unverifiable signature is not a verified one" || return 1
reject-09-flip	flip	453	KILLED	1	120	S6.1 all four positive controls fire before anything is validated	  [ -f "$PUBKEY" ] || reject B1 "public key $PUBKEY is absent; an unverifiable signature is not a verified one" && return 1
reject-10-drop	drop	454	KILLED	1	1	probe the receipt carries no signature at all                   RED  B1	  [ -f "$sig" ]    || true B1 "receipt is unsigned - no $sig" || return 1
reject-10-flip	flip	454	KILLED	1	120	S6.1 all four positive controls fire before anything is validated	  [ -f "$sig" ]    || reject B1 "receipt is unsigned - no $sig" && return 1
reject-11-drop	drop	456	KILLED	1	1	row 13 valid receipt, invalid signature                           RED  B1	    true B1 "signature does not verify against $PUBKEY: $(printf '%s' "$sout" | tr '\n' ' ' | cut -c1-160)" || return 1
reject-11-flip	flip	456	KILLED	1	1	row 13 valid receipt, invalid signature                           RED  B1	    reject B1 "signature does not verify against $PUBKEY: $(printf '%s' "$sout" | tr '\n' ' ' | cut -c1-160)" && return 1
reject-12-drop	drop	462	KILLED	1	1	probe predicateType is some other attestation                   RED  B1	  [ "$ptype" = "$PREDICATE_TYPE" ] || true B1 "predicateType is '$ptype', expected '$PREDICATE_TYPE'" || return 1
reject-12-flip	flip	462	KILLED	1	120	S6.1 all four positive controls fire before anything is validated	  [ "$ptype" = "$PREDICATE_TYPE" ] || reject B1 "predicateType is '$ptype', expected '$PREDICATE_TYPE'" && return 1
reject-13-drop	drop	465	KILLED	1	1	probe attestation_level claims more than L1-self                RED  B1	  [ "$alevel" = "L1-self" ] || true B1 "attestation_level is '$alevel'; a skill invoked by the authoring agent is self-attestation, and R1 requires it to say so" || return 1
reject-13-flip	flip	465	KILLED	1	120	S6.1 all four positive controls fire before anything is validated	  [ "$alevel" = "L1-self" ] || reject B1 "attestation_level is '$alevel'; a skill invoked by the authoring agent is self-attestation, and R1 requires it to say so" && return 1
reject-14-drop	drop	472	KILLED	1	1	probe skill_version absent                                      RED  B1	    || true B1 "predicate.skill_version is absent; the version is what selects the rule set this receipt is judged by, so a receipt that omits it cannot be judged against any" || return 1
reject-14-flip	flip	472	KILLED	1	120	S6.1 all four positive controls fire before anything is validated	    || reject B1 "predicate.skill_version is absent; the version is what selects the rule set this receipt is judged by, so a receipt that omits it cannot be judged against any" && return 1
reject-15-drop	drop	481	KILLED	1	1	probe head_sha is absent                                        RED  B1	  [ -n "$head" ] || true B1 "predicate.head_sha is absent" || return 1
reject-15-flip	flip	481	KILLED	1	120	S6.1 all four positive controls fire before anything is validated	  [ -n "$head" ] || reject B1 "predicate.head_sha is absent" && return 1
reject-16-drop	drop	482	KILLED	1	1	probe base_sha is absent                                        RED  B1	  [ -n "$base" ] || true B1 "predicate.base_sha is absent" || return 1
reject-16-flip	flip	482	KILLED	1	120	S6.1 all four positive controls fire before anything is validated	  [ -n "$base" ] || reject B1 "predicate.base_sha is absent" && return 1
reject-17-drop	drop	483	KILLED	1	1	probe the subject digest is not the head the predicate reviews  RED  B1	  [ "$subj_sha" = "$head" ] || true B1 "the sha1 digest of subject 0 is $subj_sha but the predicate reviews head_sha $head" || return 1
reject-17-flip	flip	483	KILLED	1	120	S6.1 all four positive controls fire before anything is validated	  [ "$subj_sha" = "$head" ] || reject B1 "the sha1 digest of subject 0 is $subj_sha but the predicate reviews head_sha $head" && return 1
reject-18-drop	drop	485	KILLED	1	1	probe verdict outside the four defined values                   RED  B1	    || true B1 "verdict '$verdict' is outside { PASS FINDINGS DEGRADED BLOCK }" || return 1
reject-18-flip	flip	485	KILLED	1	120	S6.1 all four positive controls fire before anything is validated	    || reject B1 "verdict '$verdict' is outside { PASS FINDINGS DEGRADED BLOCK }" && return 1
reject-19-drop	drop	491	KILLED	1	1	probe findings_ref.path points somewhere else                   RED  B1	  [ "$fref_path" = "findings.sarif" ] || true B1 "findings_ref.path is '$fref_path', expected 'findings.sarif'" || return 1
reject-19-flip	flip	491	KILLED	1	120	S6.1 all four positive controls fire before anything is validated	  [ "$fref_path" = "findings.sarif" ] || reject B1 "findings_ref.path is '$fref_path', expected 'findings.sarif'" && return 1
reject-20-drop	drop	494	KILLED	1	117	S6.1 all four positive controls fire before anything is validated	    || true B1 "findings_ref.sha256 ($fref_sha) is not sha256(findings.sarif) ($actual_sha)" || return 1
reject-20-flip	flip	494	KILLED	1	119	S6.1 all four positive controls fire before anything is validated	    || reject B1 "findings_ref.sha256 ($fref_sha) is not sha256(findings.sarif) ($actual_sha)" && return 1
reject-21-drop	drop	499	KILLED	1	116	S6.1 all four positive controls fire before anything is validated	    || true B1 "predicate.cost must carry numeric input_tokens, output_tokens and wall_seconds; record-only is not unenforced" || return 1
reject-21-flip	flip	499	KILLED	1	119	S6.1 all four positive controls fire before anything is validated	    || reject B1 "predicate.cost must carry numeric input_tokens, output_tokens and wall_seconds; record-only is not unenforced" && return 1
reject-22-drop	drop	502	KILLED	1	1	probe author_actor.id is absent                                 RED  B1	  [ -n "$author" ]   || true B1 "author_actor.id is absent"   || return 1
reject-22-flip	flip	502	KILLED	1	119	S6.1 all four positive controls fire before anything is validated	  [ -n "$author" ]   || reject B1 "author_actor.id is absent"   && return 1
reject-23-drop	drop	503	KILLED	1	1	probe reviewer_actor.id is absent                               RED  B1	  [ -n "$reviewer" ] || true B1 "reviewer_actor.id is absent" || return 1
reject-23-flip	flip	503	KILLED	1	119	S6.1 all four positive controls fire before anything is validated	  [ -n "$reviewer" ] || reject B1 "reviewer_actor.id is absent" && return 1
reject-24-drop	drop	505	KILLED	1	118	S6.1 all four positive controls fire before anything is validated	    || true B2 "reviewer_actor.id = author_actor.id = '$author'; a self-review is not a review (S5)" || return 1
reject-24-flip	flip	505	KILLED	1	119	S6.1 all four positive controls fire before anything is validated	    || reject B2 "reviewer_actor.id = author_actor.id = '$author'; a self-review is not a review (S5)" && return 1
reject-25-drop	drop	511	KILLED	1	1	probe head_sha does not resolve in the repository               RED  B1	    || true B1 "head_sha $head does not resolve to a commit in $REPO" || return 1
reject-25-flip	flip	511	KILLED	1	94	S6.1 all four positive controls fire before anything is validated	    || reject B1 "head_sha $head does not resolve to a commit in $REPO" && return 1
reject-26-drop	drop	514	KILLED	1	1	probe head_sha shares no history with origin/main               RED  B1	    || true B1 "cannot compute merge-base(origin/main, $head) in $REPO" || return 1
reject-26-flip	flip	514	KILLED	1	93	S6.1 all four positive controls fire before anything is validated	    || reject B1 "cannot compute merge-base(origin/main, $head) in $REPO" && return 1
reject-27-drop	drop	516	KILLED	1	1	row 10 base_sha is not git merge-base origin/main head_sha        RED  B1	    || true B1 "base_sha $base is not git merge-base origin/main $head (= $computed_base); the diff scope of this review is not the merge base (S2)" || return 1
reject-27-flip	flip	516	KILLED	1	92	S6.1 all four positive controls fire before anything is validated	    || reject B1 "base_sha $base is not git merge-base origin/main $head (= $computed_base); the diff scope of this review is not the merge base (S2)" && return 1
reject-28-drop	drop	538	KILLED	1	1	row 28 a 2.1.0 receipt that owes the arm and omits it           RED  B1	    true B1 "skill_version $skill_ver owes the S3.E antigravity consultation and consultations.antigravity is absent; S3.E's trigger is unconditional, exactly as S3.A's is, and an absent consultation is indistinguishable from one that found nothing (S3.0)" || return 1
reject-28-flip	flip	538	KILLED	1	1	row 28 a 2.1.0 receipt that owes the arm and omits it           RED  B1	    reject B1 "skill_version $skill_ver owes the S3.E antigravity consultation and consultations.antigravity is absent; S3.E's trigger is unconditional, exactly as S3.A's is, and an absent consultation is indistinguishable from one that found nothing (S3.0)" && return 1
reject-29-drop	drop	553	KILLED	1	1	probe a consultation with no status at all                      RED  B1	      "") true B1 "consultations.$k.status is absent; an omitted consultation is indistinguishable from one that found nothing (S3.0)" || return 1 ;;
reject-29-flip	flip	553	KILLED	1	1	probe a consultation with no status at all                      RED  B1	      "") reject B1 "consultations.$k.status is absent; an omitted consultation is indistinguishable from one that found nothing (S3.0)" && return 1 ;;
reject-30-drop	drop	554	KILLED	1	2	probe a consultation status outside the three-state vocabulary  RED  B1	      *)  true B1 "consultations.$k.status is '$st', outside { consulted, not-triggered, unreachable }" || return 1 ;;
reject-30-flip	flip	554	KILLED	1	2	probe a consultation status outside the three-state vocabulary  RED  B1	      *)  reject B1 "consultations.$k.status is '$st', outside { consulted, not-triggered, unreachable }" && return 1 ;;
reject-31-drop	drop	566	KILLED	1	2	row 5  pmat unreachable with verdict PASS                         RED  B1	      true B1 "consultations.$k is unreachable but the verdict is PASS; an unreachable source must be DEGRADED, not clean (S3.0)" || return 1
reject-31-flip	flip	566	KILLED	1	2	row 5  pmat unreachable with verdict PASS                         RED  B1	      reject B1 "consultations.$k is unreachable but the verdict is PASS; an unreachable source must be DEGRADED, not clean (S3.0)" && return 1
reject-32-drop	drop	601	KILLED	1	1	row 19 pmat not-triggered on a diff changing Rust source       RED  B1	    || true B1 "consultations.pmat is not-triggered, but S3.A makes pmat unconditional on every PR; an unmeasured CB-200 is Skip, and Skip is not a pass" || return 1
reject-32-flip	flip	601	KILLED	1	85	S6.1 all four positive controls fire before anything is validated	    || reject B1 "consultations.pmat is not-triggered, but S3.A makes pmat unconditional on every PR; an unmeasured CB-200 is Skip, and Skip is not a pass" && return 1
reject-33-drop	drop	614	KILLED	1	1	row 1  cuda not-triggered on a diff touching src/cuda/            RED  B1	      || true B1 "consultations.cuda is not-triggered but its S3.B trigger fires on this diff ($fired); 'the docs said nothing' and 'I did not ask' must not be the same artifact" || return 1
reject-33-flip	flip	614	KILLED	1	42	S6.1 all four positive controls fire before anything is validated	      || reject B1 "consultations.cuda is not-triggered but its S3.B trigger fires on this diff ($fired); 'the docs said nothing' and 'I did not ask' must not be the same artifact" && return 1
reject-34-drop	drop	637	KILLED	1	1	row 21 crux not-triggered on a diff publishing a ratio         RED  B1	      || true B1 "consultations.crux is not-triggered but its S3.C trigger fires on this diff ($crux_fired); a surface nobody looked at is not a surface with no gap" || return 1
reject-34-flip	flip	637	KILLED	1	38	S6.1 all four positive controls fire before anything is validated	      || reject B1 "consultations.crux is not-triggered but its S3.C trigger fires on this diff ($crux_fired); a surface nobody looked at is not a surface with no gap" && return 1
reject-35-drop	drop	652	KILLED	1	1	row 20 mutation not-triggered on a diff changing Rust source   RED  B1	      || true B1 "consultations.mutation is not-triggered but S3.D triggers on this diff ($mut_fired); only docs and non-code are untriggered" || return 1
reject-35-flip	flip	652	KILLED	1	39	S6.1 all four positive controls fire before anything is validated	      || reject B1 "consultations.mutation is not-triggered but S3.D triggers on this diff ($mut_fired); only docs and non-code are untriggered" && return 1
reject-36-drop	drop	675	KILLED	1	3	probe pmat consulted with duplication_hits absent              RED  B1	      || true B1 "pmat.status is consulted but these S3.A outputs are absent or are not arrays: $pmat_missing; an absent field is 'did not look', which S3.0 requires to be distinguishable from an empty one" || return 1
reject-36-flip	flip	675	KILLED	1	80	S6.1 all four positive controls fire before anything is validated	      || reject B1 "pmat.status is consulted but these S3.A outputs are absent or are not arrays: $pmat_missing; an absent field is 'did not look', which S3.0 requires to be distinguishable from an empty one" && return 1
reject-37-drop	drop	687	KILLED	1	1	row 18 cuda consulted with queries: []                         RED  B1	      || true B1 "cuda.status is consulted with queries: []; a consultation that asked nothing is DEGRADED, not clean, exactly as mutation.attempted=0 is (S3.B, S8 vacuous_consultations)" || return 1
reject-37-flip	flip	687	KILLED	1	38	row 2  mutation.attempted 0 with status consulted                 RED  B1	      || reject B1 "cuda.status is consulted with queries: []; a consultation that asked nothing is DEGRADED, not clean, exactly as mutation.attempted=0 is (S3.B, S8 vacuous_consultations)" && return 1
reject-38-drop	drop	703	KILLED	1	2	probe a cuda query whose result is outside the vocabulary      RED  B1	      || true B1 "cuda query $bad_query; S3.B requires every device-behaviour claim to carry either a citation or a NAMED query that returned nothing" || return 1
reject-38-flip	flip	703	KILLED	1	37	row 2  mutation.attempted 0 with status consulted                 RED  B1	      || reject B1 "cuda query $bad_query; S3.B requires every device-behaviour claim to carry either a citation or a NAMED query that returned nothing" && return 1
reject-39-drop	drop	714	KILLED	1	1	probe crux consulted with no surfaces key at all               RED  B1	      || true B1 "crux.status is consulted but these S3.C outputs are absent or are not arrays: $crux_shape" || return 1
reject-39-flip	flip	714	KILLED	1	39	row 4  comparative claim with no comparator command or hash       RED  B4	      || reject B1 "crux.status is consulted but these S3.C outputs are absent or are not arrays: $crux_shape" && return 1
reject-40-drop	drop	718	KILLED	1	1	probe crux consulted over nothing at all                       RED  B1	      || true B1 "crux.status is consulted with no surfaces and no comparative claims; a consultation over nothing passes vacuously, which is the shape S3.D calls DEGRADED" || return 1
reject-40-flip	flip	718	KILLED	1	38	row 4  comparative claim with no comparator command or hash       RED  B4	      || reject B1 "crux.status is consulted with no surfaces and no comparative claims; a consultation over nothing passes vacuously, which is the shape S3.D calls DEGRADED" && return 1
reject-41-drop	drop	722	KILLED	1	1	probe crux_coverage outside its vocabulary                     RED  B1	      *) true B1 "crux.crux_coverage is '$coverage', outside { covered, none }; S3.C makes 'no contract covers this surface' a FINDING, not a blank" || return 1 ;;
reject-41-flip	flip	722	KILLED	1	1	probe crux_coverage outside its vocabulary                     RED  B1	      *) reject B1 "crux.crux_coverage is '$coverage', outside { covered, none }; S3.C makes 'no contract covers this surface' a FINDING, not a blank" && return 1 ;;
reject-42-drop	drop	725	KILLED	1	1	probe gap_effect outside its vocabulary                        RED  B1	      *) true B1 "crux.gap_effect is '$gap', outside { closes, widens, none }" || return 1 ;;
reject-42-flip	flip	725	KILLED	1	1	probe gap_effect outside its vocabulary                        RED  B1	      *) reject B1 "crux.gap_effect is '$gap', outside { closes, widens, none }" && return 1 ;;
reject-43-drop	drop	737	KILLED	1	1	probe mutation.attempted is not a count                         RED  B1	      ''|null|*[!0-9]*) true B1 "mutation.status is consulted but attempted is '$attempted'" || return 1 ;;
reject-43-flip	flip	737	KILLED	1	1	probe mutation.attempted is not a count                         RED  B1	      ''|null|*[!0-9]*) reject B1 "mutation.status is consulted but attempted is '$attempted'" && return 1 ;;
reject-44-drop	drop	740	KILLED	1	1	row 2  mutation.attempted 0 with status consulted                 RED  B1	      || true B1 "mutation.status is consulted with attempted=0; a run that attempts nothing is DEGRADED, not clean (S3.D)" || return 1
reject-44-flip	flip	740	KILLED	1	31	row 2  mutation.attempted 0 with status consulted                 RED  B1	      || reject B1 "mutation.status is consulted with attempted=0; a run that attempts nothing is DEGRADED, not clean (S3.D)" && return 1
reject-45-drop	drop	741	KILLED	1	1	probe mutation.killed is not a count                            RED  B1	    case "$killed" in ''|null|*[!0-9]*) true B1 "mutation.killed is '$killed', not a count" || return 1 ;; esac
reject-45-flip	flip	741	KILLED	1	1	probe mutation.killed is not a count                            RED  B1	    case "$killed" in ''|null|*[!0-9]*) reject B1 "mutation.killed is '$killed', not a count" && return 1 ;; esac
reject-46-drop	drop	743	KILLED	1	1	probe mutation killed exceeds attempted                        RED  B1	      || true B1 "mutation records killed=$killed of attempted=$attempted; a score above one is a miscount, and guard_mutation_score is read from these two numbers" || return 1
reject-46-flip	flip	743	KILLED	1	29	row 9  index_commit not an ancestor of head_sha, verdict PASS     RED  B6	      || reject B1 "mutation records killed=$killed of attempted=$attempted; a score above one is a miscount, and guard_mutation_score is read from these two numbers" && return 1
reject-47-drop	drop	749	KILLED	1	1	probe mutation survivors do not match the arithmetic           RED  B1	      || true B1 "mutation records attempted=$attempted killed=$killed, so $((attempted - killed)) mutant/s survived, but survivors[] holds $n_survivors; S3.D requires every survivor to be named" || return 1
reject-47-flip	flip	749	KILLED	1	28	row 9  index_commit not an ancestor of head_sha, verdict PASS     RED  B6	      || reject B1 "mutation records attempted=$attempted killed=$killed, so $((attempted - killed)) mutant/s survived, but survivors[] holds $n_survivors; S3.D requires every survivor to be named" && return 1
reject-48-drop	drop	778	KILLED	1	1	row 34 agy declared not-triggered                               RED  B1	      || true B1 "consultations.antigravity is not-triggered, but S3.E's trigger is unconditional on every PR exactly as S3.A's is; a shape trigger would exempt the small diffs that look obvious, which is every PR in S9's spine" || return 1
reject-48-flip	flip	778	KILLED	1	65	S6.1 all four positive controls fire before anything is validated	      || reject B1 "consultations.antigravity is not-triggered, but S3.E's trigger is unconditional on every PR exactly as S3.A's is; a shape trigger would exempt the small diffs that look obvious, which is every PR in S9's spine" && return 1
reject-49-drop	drop	789	KILLED	1	1	probe antigravity attempted that is not a count                 RED  B1	        ''|null|*[!0-9]*) true B1 "antigravity.status is consulted but attempted is '$ag_attempted', which is not a count of agy invocations" || return 1 ;;
reject-49-flip	flip	789	KILLED	1	1	probe antigravity attempted that is not a count                 RED  B1	        ''|null|*[!0-9]*) reject B1 "antigravity.status is consulted but attempted is '$ag_attempted', which is not a count of agy invocations" && return 1 ;;
reject-50-drop	drop	792	KILLED	1	2	row 31 agy consulted having invoked nothing                     RED  B1	        || true B1 "antigravity.status is consulted with attempted=0; a consultation that invoked nothing is DEGRADED, not clean, exactly as mutation.attempted=0 and cuda.queries=[] are (S8 vacuous_consultations = 0)" || return 1
reject-50-flip	flip	792	KILLED	1	62	S6.1 all four positive controls fire before anything is validated	        || reject B1 "antigravity.status is consulted with attempted=0; a consultation that invoked nothing is DEGRADED, not clean, exactly as mutation.attempted=0 and cuda.queries=[] are (S8 vacuous_consultations = 0)" && return 1
reject-51-drop	drop	817	KILLED	1	3	probe antigravity with no recorded agy version                  RED  B1	        || true B1 "antigravity.status is consulted but these S3.E identity fields are absent or empty: $ag_ident; a review by an unrecorded binary of an unrecorded model cannot be shown to be cross-vendor, which is the arm's whole justification (S5, A5)" || return 1
reject-51-flip	flip	817	KILLED	1	60	S6.1 all four positive controls fire before anything is validated	        || reject B1 "antigravity.status is consulted but these S3.E identity fields are absent or empty: $ag_ident; a review by an unrecorded binary of an unrecorded model cannot be shown to be cross-vendor, which is the arm's whole justification (S5, A5)" && return 1
reject-52-drop	drop	829	KILLED	1	1	row 35 agy routed to the primary reviewer's own model family    RED  B1	        true B1 "antigravity.model_id is '$ag_model', which is the reviewing agent's OWN model family; S3.E exists to be a different vendor and family than the primary reviewer (S5, A5, Huang et al. ICLR'24), and agy is a harness that can route to Claude - so a same-family model makes this arm self-review wearing a cross-vendor label" || return 1
reject-52-flip	flip	829	KILLED	1	1	row 35 agy routed to the primary reviewer's own model family    RED  B1	        reject B1 "antigravity.model_id is '$ag_model', which is the reviewing agent's OWN model family; S3.E exists to be a different vendor and family than the primary reviewer (S5, A5, Huang et al. ICLR'24), and agy is a harness that can route to Claude - so a same-family model makes this arm self-review wearing a cross-vendor label" && return 1
